plot_id,tree_id,XTOP,YTOP,ZTOP,set_id
358,123,426288.32,5321212.48,11.42,LMF_002
358,124,426287.69,5321212.91,11.7,LMF_002
358,125,426289.63,5321212.13,11.43,LMF_002
358,126,426291.09,5321213.93,10.88,LMF_002
358,128,426293.47,5321200.12,9.01,LMF_002
358,130,426296.72,5321200.33,10.92,LMF_002
358,131,426295.47,5321203.35,12.34,LMF_002
358,133,426299.02,5321204.35,10.64,LMF_002
358,135,426292.34,5321206.96,10.14,LMF_002
358,136,426295.9,5321206.86,10.49,LMF_002
358,137,426295.02,5321209.18,10.36,LMF_002
358,138,426295.98,5321210.78,10.27,LMF_002
358,139,426291.79,5321214.75,10.83,LMF_002
358,140,426294.09,5321213.92,11.77,LMF_002
358,141,426297.24,5321213.04,10.3,LMF_002
358,143,426298.99,5321213.57,10.43,LMF_002
358,144,426299.02,5321214.97,10.35,LMF_002
358,150,426284.8,5321216.94,10.39,LMF_002
358,151,426284.78,5321219.12,11.48,LMF_002
358,152,426286.8,5321217.94,11.89,LMF_002
358,153,426287.78,5321218.62,11.8,LMF_002
358,158,426293.09,5321222.07,11.47,LMF_002
365,4,477709.76,5346377.62,6.95,LMF_002
365,5,477712.79,5346378.63,4.98,LMF_002
365,6,477715.5,5346377.95,8.27,LMF_002
365,7,477714.61,5346379.11,7.75,LMF_002
365,13,477701.48,5346386.66,5.47,LMF_002
365,17,477706.35,5346391.99,2.2,LMF_002
365,29,477704.15,5346379.65,8.01,LMF_002
365,36,477708.55,5346380.23,22.27,LMF_002
365,39,477709.53,5346384.54,22.1,LMF_002
365,46,477710.48,5346388.53,16.32,LMF_002
365,48,477702.32,5346394.2,21.69,LMF_002
365,50,477708.94,5346386.22,22.77,LMF_002
365,51,477707.11,5346389.9,21.66,LMF_002
365,53,477712.55,5346388.43,19.09,LMF_002
365,57,477715.63,5346394.64,20.87,LMF_002
365,60,477709.22,5346397.7,23.2,LMF_002
365,67,477721.01,5346389.65,19.95,LMF_002
365,74,477705.79,5346382.82,5.23,LMF_002
365,80,477721.1,5346382.99,8.28,LMF_002
365,81,477721.86,5346382.62,6.8,LMF_002
365,85,477700.81,5346395.7,7.38,LMF_002
365,88,477711.2,5346395.15,5.14,LMF_002
365,89,477709.19,5346392.85,6.05,LMF_002
365,90,477712.41,5346392.85,7.15,LMF_002
365,101,477703.67,5346383.46,14.95,LMF_002
